Position_Title,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7
Laboratory Assistant,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Peer Tutor,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
peer tutor,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Peer Tutor,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Peer Tutor,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
peer tutor,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Photographer,Photography,Public Relations,PhotoShop,Helping/Serving others,Artistic,Attentive to detail,Communication (Oral)
PIER 21 Peer Educator,Public Speaking,Database programs,Helping/Serving others,Research,Analytical Skills,Assertive,Attentive to detail
PIER 21 Peer Educator,Public Speaking,Database programs,Helping/Serving others,Research,Analytical Skills,Assertive,Attentive to detail
Research Assistant,Public Relations,Database programs,Helping/Serving others,Spanish,Attentive to detail,Communication (Oral),Communication (Written)
research assistant,Public Relations,Database programs,Helping/Serving others,Spanish,Attentive to detail,Communication (Oral),Communication (Written)
Social media office assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Developing ideas
social media office assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Developing ideas
social media office assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Developing ideas
Student Assistant,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student assistant,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student Assistant,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student Fundraiser,Fundraising,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
student fundraiser,Fundraising,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Videographer,Video Production,Public Relations,Database programs,Helping/Serving others,Artistic,Attentive to detail,Communication (Oral)
Writer,Marketing,Public Relations,Helping/Serving others,Analytical Skills,Attentive to detail,Communication (Oral),Communication (Written)
Photographer,Photography,Public Relations,PhotoShop,Helping/Serving others,Artistic,Attentive to detail,Communication (Oral)
Videographer,Video Production,Public Relations,Database programs,Helping/Serving others,Artistic,Attentive to detail,Communication (Oral)
Assessor,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Laboratory Assistant,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Student Assistant,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Writer,Marketing,Public Relations,Helping/Serving others,Analytical Skills,Attentive to detail,Communication (Oral),Communication (Written)
3D Shop Assistant,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative,Independent,Organized,Resourceful
3D Shop Assistant,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative,Independent,Organized,Resourceful
